,model,fid,wasserstein_distance,mmd,coverage,precision,js_divergence,energy_distance,density_ks_stat,log_density_ratio,mode_collapse_score,duplicate_ratio,mean_pairwise_distance,min_pairwise_distance,std_pairwise_distance,distance_entropy,type,optimized,solution,model_category,category
3,diffusion_unet_default,444.0838317871094,0.7612817360262405,0.31404469658931095,0.0,0.0,0.7575182914733887,19.168994903564453,0.9991666666666666,-0.5374612808227539,7.988672733306885,0.0,7.743712902069092,5.189945697784424,1.3897855281829834,4.872517,diff,False,default,diff (Base),diff (Base)
5,diffusion_unet_solution4_optim,139.50648498535156,0.07217968465041488,0.06018378088871638,0.030833333730697632,1.0,0.3104899227619171,1.1642112731933594,0.2693333333333333,0.06752811372280121,14.790044784545898,0.0,14.198188781738281,9.210604667663574,1.901355504989624,4.9425583,diff,True,50/50 FID/loss,diff (50/50),diff (50/50)
6,diffusion_unet_solution5_optim,139.3151092529297,0.06482255825683045,0.05923008670409521,0.025333333760499954,1.0,0.30214983224868774,1.169419288635254,0.22366666666666668,0.04413239657878876,16.022356033325195,0.0,15.358469009399414,10.241886138916016,2.1124913692474365,5.1917033,diff,True,70/30 FID/loss,diff (70/30),diff (70/30)
10,flow_matching_unet_default,359.69195556640625,0.32083106413086593,0.2344022567073504,0.0,0.0,0.6124361157417297,12.926450729370117,0.9863333333333333,-0.42070305347442627,10.771407127380371,0.0,10.348217964172363,6.854445934295654,1.8125264644622803,5.1573453,fm,False,default,fm (Base),fm (Base)
12,flow_matching_unet_solution1_optim,144.36912536621094,0.07762377478506535,0.05692777782678604,0.015166666358709335,1.0,0.34466463327407837,1.0310993194580078,0.12833333333333333,0.022416185587644577,16.36147117614746,0.0,15.855511665344238,9.97115707397461,2.8052735328674316,4.8658066,fm,True,50/50 FID/loss,fm (50/50),fm (50/50)
14,flow_matching_unet_solution2_optim,149.9559326171875,0.05971583242083243,0.05702439695596695,0.019833333790302277,1.0,0.30802854895591736,1.0355844497680664,0.154,0.013662516139447689,16.58020782470703,0.0,16.022369384765625,10.08222484588623,2.789332389831543,5.050414,fm,True,70/30 FID/loss,fm (70/30),fm (70/30)
